Model,N,EER%,AUC,ACER%,APCER%,BPCER%,thr@EER
Baseline SVM (color-LBP),66787,7.69,0.9761,7.69,7.69,7.69,0.144
CNN (resnet18),66787,3.69,0.994,3.69,3.68,3.69,0.009
